Date,Product,Category,Units_Sold,Unit_Price,Revenue,Customer,Region
2024-01-05,Laptop Pro,Electronics,12,1299.99,15599.88,TechCorp GmbH,North
2024-01-08,Wireless Mouse,Accessories,45,29.99,1349.55,DataSolutions AG,South
2024-01-12,USB-C Hub,Accessories,30,49.99,1499.70,CloudBase Ltd,East
2024-01-15,Monitor 4K,Electronics,8,599.99,4799.92,TechCorp GmbH,North
2024-01-18,Keyboard Mech,Accessories,22,89.99,1979.78,StartupXYZ,West
2024-01-22,Laptop Pro,Electronics,10,1299.99,12999.90,BizSoft GmbH,South
2024-01-25,Headphones Pro,Electronics,18,199.99,3599.82,DataSolutions AG,East
2024-01-28,Webcam HD,Accessories,35,79.99,2799.65,CloudBase Ltd,North
2024-02-02,Laptop Pro,Electronics,15,1299.99,19499.85,TechCorp GmbH,North
2024-02-05,Monitor 4K,Electronics,11,599.99,6599.89,StartupXYZ,South
2024-02-09,Wireless Mouse,Accessories,60,29.99,1799.40,BizSoft GmbH,West
2024-02-12,USB-C Hub,Accessories,25,49.99,1249.75,TechCorp GmbH,North
2024-02-15,Keyboard Mech,Accessories,28,89.99,2519.72,DataSolutions AG,East
2024-02-19,Headphones Pro,Electronics,22,199.99,4399.78,CloudBase Ltd,South
2024-02-22,Laptop Pro,Electronics,9,1299.99,11699.91,BizSoft GmbH,West
2024-02-26,Webcam HD,Accessories,40,79.99,3199.60,StartupXYZ,North
2024-03-01,Monitor 4K,Electronics,14,599.99,8399.86,TechCorp GmbH,North
2024-03-04,Laptop Pro,Electronics,20,1299.99,25999.80,DataSolutions AG,South
2024-03-08,Wireless Mouse,Accessories,55,29.99,1649.45,BizSoft GmbH,East
2024-03-12,USB-C Hub,Accessories,42,49.99,2099.58,CloudBase Ltd,West
2024-03-15,Keyboard Mech,Accessories,33,89.99,2969.67,StartupXYZ,North
2024-03-19,Headphones Pro,Electronics,27,199.99,5399.73,TechCorp GmbH,South
2024-03-22,Laptop Pro,Electronics,17,1299.99,22099.83,DataSolutions AG,East
2024-03-26,Webcam HD,Accessories,48,79.99,3839.52,BizSoft GmbH,West
2024-04-02,Monitor 4K,Electronics,16,599.99,9599.84,TechCorp GmbH,North
2024-04-05,Laptop Pro,Electronics,23,1299.99,29899.77,CloudBase Ltd,South
2024-04-09,Wireless Mouse,Accessories,70,29.99,2099.30,StartupXYZ,East
2024-04-12,USB-C Hub,Accessories,38,49.99,1899.62,BizSoft GmbH,West
2024-04-15,Keyboard Mech,Accessories,29,89.99,2609.71,DataSolutions AG,North
2024-04-19,Headphones Pro,Electronics,31,199.99,6199.69,TechCorp GmbH,South
2024-04-22,Laptop Pro,Electronics,13,1299.99,16899.87,StartupXYZ,East
2024-04-26,Webcam HD,Accessories,52,79.99,4159.48,CloudBase Ltd,West
2024-05-03,Monitor 4K,Electronics,19,599.99,11399.81,BizSoft GmbH,North
2024-05-07,Laptop Pro,Electronics,26,1299.99,33799.74,TechCorp GmbH,South
2024-05-10,Wireless Mouse,Accessories,80,29.99,2399.20,DataSolutions AG,East
2024-05-14,USB-C Hub,Accessories,45,49.99,2249.55,StartupXYZ,West
2024-05-17,Keyboard Mech,Accessories,37,89.99,3329.63,CloudBase Ltd,North
2024-05-21,Headphones Pro,Electronics,35,199.99,6999.65,BizSoft GmbH,South
2024-05-24,Laptop Pro,Electronics,21,1299.99,27299.79,TechCorp GmbH,East
2024-05-28,Webcam HD,Accessories,58,79.99,4639.42,DataSolutions AG,West
